log_message,stack_trace,test_name,error_type,duration_ms,retry_count,memory_mb,cpu_percent,line_number,file_count,test_count,failure_rate_history,time_since_last_success,network_latency_ms,db_response_time_ms,queue_size,component,environment,severity,build_tool,os,language,ci_platform,trigger_type,branch_type,day_of_week,is_timeout,is_network_error,has_retry,is_first_run,parallel_execution,has_external_dependency,is_flaky
"Network partition simulated, connection restored after 1456ms","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.notification.NotificationService.process(NotificationService.java:237)
    at com.example.test.SearchPaymentNotificationTest.test_search_payment_notification(SearchPaymentNotificationTest.java:85)",test_search_payment_notification,RaceConditionException,413,1,653,16,717,3,454,0.256,41.1,82,131,605,notification,prod,info,cargo,macos,python,gitlab_ci,manual,feature,sunday,0,0,0,0,0,1,1
Socket connection reset by peer during write,"java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.auth.AsyncService.await(AsyncService.java:250)
    at com.example.test.AuthenticateResponseAuthTest.test_authenticate_response_auth(AuthenticateResponseAuthTest.java:157)",test_authenticate_response_auth,TransientFailureException,4051,0,698,21,141,29,13,0.659,1.21,112,23,825,auth,prod,critical,maven,windows,rust,travis,tag,develop,wednesday,0,0,0,0,1,0,1
Schema validation failed: id does not match pattern,"java.lang.IndexOutOfBoundsException: Index 90 out of bounds for length 17
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.api.ApiService.run(ApiService.java:246)
    at com.example.test.FilterDataApiTest.test_filter_data_api(FilterDataApiTest.java:63)",test_filter_data_api,TemporaryFailureException,1265,2,193,16,129,41,211,0.0,17.08,16,42,86,api,dev,critical,go,macos,go,github_actions,tag,main,wednesday,0,0,0,1,0,0,0
Deadlock detected between threads thread-2 and thread-11,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.user.UserService.run(UserService.java:286)
    at com.example.user.UserHandler.validate(UserHandler.java:318)
    at com.example.test.ProcessConnectionUserTest.test_process_connection_user(ProcessConnectionUserTest.java:103)",test_process_connection_user,ConnectionResetException,737,0,558,26,17,3,111,0.462,39.16,29,167,709,user,prod,warning,pip,windows,java,travis,manual,feature,saturday,0,0,0,0,1,0,0
"Cache miss rate spike: 62%, temporary performance degradation","java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.analytics.AnalyticsService.handle(AnalyticsService.java:245)
    at com.example.analytics.AnalyticsHandler.validate(AnalyticsHandler.java:331)
    at com.example.test.ReadSessionAnalyticsTest.test_read_session_analytics(ReadSessionAnalyticsTest.java:71)",test_read_session_analytics,IndexOutOfBoundsException,2677,1,854,9,900,14,55,0.474,81.36,131,23,246,analytics,staging,critical,pip,linux,java,jenkins,tag,develop,tuesday,0,0,0,0,0,0,0
Circular dependency detected in user,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.user.UserService.handle(UserService.java:53)
    at com.example.test.DeleteRequestUserTest.test_delete_request_user(DeleteRequestUserTest.java:37)",test_delete_request_user,SocketTimeoutException,3462,0,319,58,25,16,23,0.227,25.27,43,98,479,user,dev,warning,go,macos,rust,circleci,manual,feature,sunday,0,0,1,0,0,0,1
Deadlock detected between threads thread-16 and thread-17,"java.lang.IndexOutOfBoundsException: Index 70 out of bounds for length 33
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.storage.StorageService.process(StorageService.java:467)
    at com.example.test.FilterRequestStorageTest.test_filter_request_storage(FilterRequestStorageTest.java:90)",test_filter_request_storage,ValidationException,477,0,273,21,890,30,113,0.272,86.41,63,39,859,storage,test,critical,cargo,windows,rust,gitlab_ci,manual,develop,saturday,0,1,1,0,0,0,0
"Database connection pool exhausted, waiting for available connection","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.queue.QueueService.handle(QueueService.java:270)
    at com.example.test.TransformConfigQueueTest.test_transform_config_queue(TransformConfigQueueTest.java:149)",test_transform_config_queue,ClassCastException,11819,0,531,9,378,40,480,0.708,23.21,38,44,132,queue,staging,info,pip,linux,java,circleci,schedule,develop,sunday,1,0,1,0,1,0,1
Contract violation: isInitialized not satisfied,,test_read_user_auth,ConfigurationException,2116,1,1903,33,144,39,489,0.13,23.68,153,84,55,auth,staging,error,go,macos,python,github_actions,pull_request,hotfix,friday,0,1,0,0,0,1,0
State machine in invalid state: UNKNOWN,"java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.DeleteUserUserTest.test_delete_user_user(DeleteUserUserTest.java:30)",test_delete_user_user,TypeMismatchException,1441,0,298,10,58,40,134,0.027,71.02,113,75,81,user,staging,error,gradle,windows,rust,circleci,tag,main,tuesday,0,0,1,0,0,0,0
"Resource connection busy, waiting for lock release",,test_authorize_order_storage,ClassCastException,421,0,123,11,454,33,133,0.248,28.81,544,31,983,storage,integration,critical,npm,macos,python,circleci,pull_request,main,saturday,1,0,0,0,0,0,1
Configuration error: property 'api.key' not found,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.storage.StorageService.handle(StorageService.java:174)
    at com.example.storage.StorageHandler.transform(StorageHandler.java:341)
    at com.example.test.ProcessConfigStorageTest.test_process_config_storage(ProcessConfigStorageTest.java:83)",test_process_config_storage,SocketTimeoutException,1797,0,171,19,484,15,42,0.481,18.34,113,35,994,storage,prod,warning,gradle,linux,python,github_actions,pull_request,main,friday,1,1,0,1,1,0,1
Assertion failed: result != null was false,"org.apache.http.conn.ConnectTimeoutException: Connect to user.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.user.HttpClient.execute(HttpClient.java:292)
    at com.example.test.SearchCacheUserTest.test_search_cache_user(SearchCacheUserTest.java:95)",test_search_cache_user,RaceConditionException,1854,1,466,13,882,28,30,0.0,50.38,44,25,562,user,staging,info,gradle,macos,java,github_actions,push,main,thursday,0,1,0,1,0,1,0
NullPointerException at SearchService.java:41 - connection is null,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.search.SearchService.process(SearchService.java:359)
    at com.example.search.SearchHandler.transform(SearchHandler.java:405)
    at com.example.test.AuthenticateUserSearchTest.test_authenticate_user_search(AuthenticateUserSearchTest.java:162)",test_authenticate_user_search,ClassCastException,3634,3,75,3,326,30,366,0.368,127.09,92,51,33,search,test,info,pip,windows,go,travis,manual,develop,thursday,0,0,0,0,0,0,0
"External API redis returned 503, scheduled retry in 2000ms","java.lang.AssertionError: expected:<SUCCESS> but was:<false>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.CreateDataNotificationTest.test_create_data_notification(CreateDataNotificationTest.java:33)",test_create_data_notification,TransientFailureException,1693,0,2148,100,713,17,331,0.018,16.8,510,26,624,notification,prod,error,pip,linux,rust,gitlab_ci,tag,hotfix,wednesday,0,0,1,0,0,1,0
State machine in invalid state: ERROR,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.payment.PaymentService.handle(PaymentService.java:239)
    at com.example.test.SearchPaymentPaymentTest.test_search_payment_payment(SearchPaymentPaymentTest.java:65)",test_search_payment_payment,ConnectionResetException,5100,0,486,40,723,43,437,0.626,13.14,101,56,583,payment,staging,info,maven,macos,go,travis,tag,release,thursday,0,0,0,0,0,1,1
"External API kafka returned 503, scheduled retry in 1000ms","java.lang.AssertionError: expected:<200> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.ReadPaymentPaymentTest.test_read_payment_payment(ReadPaymentPaymentTest.java:103)",test_read_payment_payment,NetworkException,882,2,529,25,177,37,410,0.666,16.34,299,68,610,payment,test,error,cargo,windows,java,gitlab_ci,schedule,feature,sunday,1,0,0,0,1,1,1
Thread pool saturation caused temporary request rejection,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.cache.CacheService.execute(CacheService.java:381)
    at com.example.test.AuthorizeSessionCacheTest.test_authorize_session_cache(AuthorizeSessionCacheTest.java:158)",test_authorize_session_cache,ValidationException,8370,0,497,21,774,37,488,0.463,56.7,25,118,447,cache,integration,warning,go,macos,go,gitlab_ci,tag,hotfix,tuesday,0,0,1,0,1,0,0
Missing required field 'timestamp' in Response,"java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.SearchUserSearchTest.test_search_user_search(SearchUserSearchTest.java:57)",test_search_user_search,ArithmeticException,31231,2,1232,7,738,45,454,0.653,16.95,61,31,740,search,integration,critical,gradle,macos,java,jenkins,pull_request,hotfix,monday,0,0,0,1,0,0,1
Type mismatch: expected true but got null,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.auth.AuthService.process(AuthService.java:98)
    at com.example.auth.AuthHandler.transform(AuthHandler.java:365)
    at com.example.test.UpdatePaymentAuthTest.test_update_payment_auth(UpdatePaymentAuthTest.java:81)",test_update_payment_auth,IllegalStateException,7301,0,760,25,663,5,19,0.521,19.75,47,16,282,auth,integration,info,go,windows,javascript,github_actions,pull_request,develop,tuesday,0,0,0,0,0,0,0
"Database connection pool exhausted, waiting for available connection","java.lang.IndexOutOfBoundsException: Index 19 out of bounds for length 27
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.api.ApiService.process(ApiService.java:271)
    at com.example.test.ProcessSessionApiTest.test_process_session_api(ProcessSessionApiTest.java:153)",test_process_session_api,IllegalStateException,518,0,1898,25,367,44,291,0.464,45.9,88,35,688,api,integration,critical,gradle,macos,kotlin,circleci,tag,feature,friday,0,1,0,0,1,1,1
Race condition detected in concurrent test execution,,test_search_response_payment,NetworkException,758,0,147,91,993,37,296,0.073,14.8,39,43,411,payment,prod,critical,maven,linux,javascript,github_actions,manual,release,monday,1,1,0,0,0,1,0
Division by zero in handle at UserService.java:457,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.user.UserService.execute(UserService.java:457)
    at com.example.test.AuthenticateOrderUserTest.test_authenticate_order_user(AuthenticateOrderUserTest.java:153)",test_authenticate_order_user,ConnectionResetException,3341,1,824,35,788,1,355,0.314,4.84,103,140,193,user,test,error,gradle,windows,go,circleci,manual,develop,friday,1,0,1,0,0,1,1
"Database connection pool exhausted, waiting for available connection","java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.user.AsyncService.await(AsyncService.java:92)
    at com.example.test.DeletePaymentUserTest.test_delete_payment_user(DeletePaymentUserTest.java:153)",test_delete_payment_user,TemporaryFailureException,1337,1,294,6,606,18,352,0.467,50.99,392,15,615,user,test,warning,go,linux,go,github_actions,manual,main,saturday,0,0,1,0,1,0,1
Schema validation failed: id does not match pattern,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.search.SearchService.run(SearchService.java:253)
    at com.example.test.AuthorizeResponseSearchTest.test_authorize_response_search(AuthorizeResponseSearchTest.java:131)",test_authorize_response_search,LockContentionException,4453,1,1100,10,424,1,256,0.496,7.6,564,132,675,search,test,error,maven,macos,rust,github_actions,schedule,develop,friday,0,1,1,1,0,1,1
Contract violation: input != null not satisfied,"java.lang.IndexOutOfBoundsException: Index 52 out of bounds for length 28
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.storage.StorageService.run(StorageService.java:472)
    at com.example.test.ReadRequestStorageTest.test_read_request_storage(ReadRequestStorageTest.java:53)",test_read_request_storage,TimeoutException,1235,0,1519,8,782,17,66,0.411,48.09,388,12,633,storage,staging,critical,go,macos,javascript,circleci,pull_request,develop,wednesday,1,0,0,0,0,0,0
Assertion failed: x > 0 was false,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.payment.PaymentService.execute(PaymentService.java:286)
    at com.example.test.ProcessDataPaymentTest.test_process_data_payment(ProcessDataPaymentTest.java:124)",test_process_data_payment,RaceConditionException,216,0,571,4,141,46,462,0.138,8.7,74,77,583,payment,integration,error,gradle,macos,kotlin,github_actions,pull_request,hotfix,sunday,0,0,0,0,0,0,0
"Resource file busy, waiting for lock release",,test_process_connection_api,TimeoutException,757,0,553,48,270,28,290,0.435,3.7,128,32,592,api,integration,info,gradle,linux,rust,circleci,pull_request,release,saturday,0,0,0,1,0,1,1
Division by zero in handle at AnalyticsService.java:196,"java.lang.AssertionError: expected:<true> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.UpdateUserAnalyticsTest.test_update_user_analytics(UpdateUserAnalyticsTest.java:166)",test_update_user_analytics,ConfigurationException,751,0,1525,28,777,25,278,0.272,86.15,76,62,506,analytics,staging,critical,npm,macos,java,circleci,tag,main,sunday,0,0,1,0,0,0,0
"Resource memory busy, waiting for lock release","java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.api.ApiService.process(ApiService.java:126)
    at com.example.test.TransformConnectionApiTest.test_transform_connection_api(TransformConnectionApiTest.java:86)",test_transform_connection_api,ResourceBusyException,2748,0,854,23,392,47,61,0.58,7.09,182,59,627,api,test,warning,gradle,macos,kotlin,circleci,pull_request,main,thursday,0,1,0,0,1,1,1
Type mismatch: expected 200 but got 500,"java.net.SocketTimeoutException: Read timed out
    at java.net.SocketInputStream.socketRead0(Native Method)
    at com.example.api.ApiService.process(ApiService.java:114)
    at com.example.test.DeleteOrderApiTest.test_delete_order_api(DeleteOrderApiTest.java:40)",test_delete_order_api,RetryableException,17422,1,91,13,94,17,397,0.815,35.08,191,84,407,api,staging,info,go,windows,rust,gitlab_ci,manual,feature,wednesday,0,0,0,0,0,1,1
Configuration error: property 'db.url' not found,"java.lang.IndexOutOfBoundsException: Index 0 out of bounds for length 8
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.auth.AuthService.execute(AuthService.java:288)
    at com.example.test.SearchCacheAuthTest.test_search_cache_auth(SearchCacheAuthTest.java:194)",test_search_cache_auth,ClassCastException,638,0,661,8,482,45,74,0.017,71.11,99,29,650,auth,staging,error,npm,linux,javascript,circleci,schedule,main,monday,0,0,0,0,1,0,0
Memory leak detected: 846249 bytes not freed,"java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.api.AsyncService.await(AsyncService.java:441)
    at com.example.test.ProcessConfigApiTest.test_process_config_api(ProcessConfigApiTest.java:72)",test_process_config_api,NetworkException,289,0,430,29,512,1,236,0.851,32.5,11,513,326,api,prod,error,cargo,windows,go,gitlab_ci,manual,release,thursday,0,0,0,0,0,1,1
"Cache miss rate spike: 87%, temporary performance degradation","java.lang.AssertionError: expected:<true> but was:<500>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.FilterConnectionUserTest.test_filter_connection_user(FilterConnectionUserTest.java:49)",test_filter_connection_user,TemporaryFailureException,6056,2,912,16,676,19,136,0.737,2.17,65,62,242,user,prod,warning,npm,macos,rust,jenkins,pull_request,release,tuesday,1,0,0,0,1,1,1
Array index 719 out of bounds for length 8,"java.lang.NullPointerException: Cannot invoke method on null object
    at com.example.payment.PaymentService.run(PaymentService.java:129)
    at com.example.payment.PaymentHandler.validate(PaymentHandler.java:91)
    at com.example.test.DeleteOrderPaymentTest.test_delete_order_payment(DeleteOrderPaymentTest.java:139)",test_delete_order_payment,ClassCastException,720,0,586,14,469,11,207,0.469,141.19,63,73,76,payment,dev,info,pip,windows,python,gitlab_ci,schedule,main,thursday,0,0,0,0,1,0,0
"Database connection pool exhausted, waiting for available connection","org.apache.http.conn.ConnectTimeoutException: Connect to payment.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.payment.HttpClient.execute(HttpClient.java:243)
    at com.example.test.AuthorizeConfigPaymentTest.test_authorize_config_payment(AuthorizeConfigPaymentTest.java:101)",test_authorize_config_payment,RetryableException,1082,3,857,16,584,2,499,0.291,7.73,39,103,82,payment,staging,critical,cargo,macos,kotlin,travis,schedule,feature,tuesday,0,0,1,0,1,0,1
Security violation: unauthorized access to lock,"org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:313)
    at com.example.test.FilterConfigDatabaseTest.test_filter_config_database(FilterConfigDatabaseTest.java:175)",test_filter_config_database,RetryableException,798,0,178,44,434,19,436,0.531,46.62,61,37,511,database,integration,error,npm,linux,python,travis,push,release,tuesday,1,1,0,0,1,1,1
NullPointerException at AuthService.java:146 - result is null,,test_update_order_auth,ConcurrencyException,4889,2,465,20,172,16,96,0.365,28.26,571,53,673,auth,dev,warning,pip,macos,python,jenkins,tag,feature,friday,0,1,0,1,0,0,1
Test TestCache_9 passed after 1 retries due to timing issue,,test_transform_response_cache,LockContentionException,3693,1,373,42,459,6,212,0.558,60.84,21,47,689,cache,test,info,cargo,linux,go,github_actions,schedule,main,monday,1,0,1,0,0,0,1
Assertion failed: x > 0 was false,,test_create_order_database,ValidationException,1585,0,206,7,805,12,155,0.0,3.45,539,33,792,database,integration,warning,gradle,macos,javascript,github_actions,tag,feature,wednesday,1,1,0,1,0,0,0
"Resource lock busy, waiting for lock release","java.lang.IndexOutOfBoundsException: Index 49 out of bounds for length 39
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.search.SearchService.execute(SearchService.java:350)
    at com.example.test.DeleteCacheSearchTest.test_delete_cache_search(DeleteCacheSearchTest.java:99)",test_delete_cache_search,SecurityException,4232,0,158,11,518,36,117,0.418,45.61,82,9,281,search,dev,warning,maven,macos,java,circleci,pull_request,release,thursday,0,0,0,0,0,0,0
Memory leak detected: 990214 bytes not freed,"java.lang.IndexOutOfBoundsException: Index 67 out of bounds for length 9
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.api.ApiService.execute(ApiService.java:220)
    at com.example.test.AuthorizeResponseApiTest.test_authorize_response_api(AuthorizeResponseApiTest.java:26)",test_authorize_response_api,SecurityException,825,2,746,31,481,7,33,0.605,114.11,44,32,187,api,dev,info,pip,linux,java,github_actions,pull_request,release,friday,1,0,0,1,0,0,0
"Service elasticsearch temporarily unavailable, backing off for 500ms","org.apache.http.conn.ConnectTimeoutException: Connect to queue.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.queue.HttpClient.execute(HttpClient.java:350)
    at com.example.test.ProcessRequestQueueTest.test_process_request_queue(ProcessRequestQueueTest.java:46)",test_process_request_queue,ResourceBusyException,1305,2,320,31,211,1,497,0.407,64.72,116,133,695,queue,test,error,npm,linux,rust,github_actions,manual,release,wednesday,0,0,0,1,1,0,1
"Service mongodb temporarily unavailable, backing off for 500ms","org.apache.http.conn.ConnectTimeoutException: Connect to database.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.database.HttpClient.execute(HttpClient.java:482)
    at com.example.test.AuthorizeCacheDatabaseTest.test_authorize_cache_database(AuthorizeCacheDatabaseTest.java:188)",test_authorize_cache_database,TemporaryFailureException,638,3,179,12,288,24,491,0.621,7.27,33,43,943,database,integration,warning,pip,windows,go,travis,manual,main,friday,1,1,0,0,1,1,1
Circular dependency detected in database,"java.lang.IndexOutOfBoundsException: Index 84 out of bounds for length 47
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.database.DatabaseService.run(DatabaseService.java:489)
    at com.example.test.ReadRequestDatabaseTest.test_read_request_database(ReadRequestDatabaseTest.java:154)",test_read_request_database,MissingFieldException,4691,0,127,74,849,20,4,0.26,5.76,29,52,673,database,integration,warning,npm,macos,go,gitlab_ci,push,main,thursday,1,1,0,0,1,0,0
"Service elasticsearch temporarily unavailable, backing off for 500ms","java.util.concurrent.TimeoutException: Future timed out after 1000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.user.AsyncService.await(AsyncService.java:268)
    at com.example.test.TransformConnectionUserTest.test_transform_connection_user(TransformConnectionUserTest.java:64)",test_transform_connection_user,RaceConditionException,563,0,640,14,490,26,448,0.383,15.74,182,44,303,user,integration,error,gradle,macos,go,circleci,pull_request,feature,wednesday,1,0,0,0,0,1,1
Memory leak detected: 710585 bytes not freed,"org.apache.http.conn.ConnectTimeoutException: Connect to analytics.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.analytics.HttpClient.execute(HttpClient.java:379)
    at com.example.test.SearchConnectionAnalyticsTest.test_search_connection_analytics(SearchConnectionAnalyticsTest.java:71)",test_search_connection_analytics,ConcurrencyException,1127,0,331,7,220,6,437,0.39,21.76,138,72,286,analytics,test,critical,pip,macos,javascript,circleci,tag,main,wednesday,1,1,0,0,0,0,1
"Network latency spike detected: 4808ms, threshold exceeded","java.lang.IndexOutOfBoundsException: Index 51 out of bounds for length 23
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.user.UserService.process(UserService.java:133)
    at com.example.test.DeleteRequestUserTest.test_delete_request_user(DeleteRequestUserTest.java:94)",test_delete_request_user,AssertionError,294,1,228,18,478,27,165,0.136,27.45,55,50,625,user,integration,info,npm,windows,javascript,circleci,tag,feature,monday,1,0,0,1,0,1,0
Memory leak detected: 122043 bytes not freed,"java.lang.AssertionError: expected:<200> but was:<ERROR>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.CreateRequestCacheTest.test_create_request_cache(CreateRequestCacheTest.java:80)",test_create_request_cache,ServiceUnavailableException,9905,0,577,100,593,10,37,0.136,33.85,61,9,466,cache,staging,critical,npm,windows,java,jenkins,schedule,main,thursday,1,0,1,0,0,1,0
Intermittent failure in analytics: connection lost,"org.apache.http.conn.ConnectTimeoutException: Connect to analytics.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.analytics.HttpClient.execute(HttpClient.java:103)
    at com.example.test.SearchUserAnalyticsTest.test_search_user_analytics(SearchUserAnalyticsTest.java:196)",test_search_user_analytics,SecurityException,702,0,137,9,324,18,446,0.591,66.89,39,36,292,analytics,staging,warning,npm,macos,rust,travis,pull_request,feature,wednesday,0,0,0,0,0,0,0
"Service elasticsearch temporarily unavailable, backing off for 100ms","java.util.concurrent.TimeoutException: Future timed out after 5000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.storage.AsyncService.await(AsyncService.java:393)
    at com.example.test.UpdateConfigStorageTest.test_update_config_storage(UpdateConfigStorageTest.java:110)",test_update_config_storage,NetworkException,3828,0,242,26,285,6,218,0.585,22.43,96,32,26,storage,prod,warning,gradle,macos,rust,travis,pull_request,feature,wednesday,0,0,0,0,0,1,1
NullPointerException at SearchService.java:214 - user is null,,test_filter_user_search,ArithmeticException,122,0,271,18,980,5,12,0.141,125.99,83,18,317,search,prod,info,go,macos,rust,github_actions,tag,hotfix,sunday,0,1,0,0,1,0,0
Missing required field 'userId' in Request,"java.lang.IndexOutOfBoundsException: Index 36 out of bounds for length 29
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.analytics.AnalyticsService.run(AnalyticsService.java:81)
    at com.example.test.ReadRequestAnalyticsTest.test_read_request_analytics(ReadRequestAnalyticsTest.java:190)",test_read_request_analytics,RaceConditionException,578,0,1599,4,294,11,43,0.563,179.02,37,88,133,analytics,test,info,pip,windows,python,github_actions,pull_request,release,saturday,1,0,1,0,0,1,0
"Network latency spike detected: 1003ms, threshold exceeded","java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.storage.AsyncService.await(AsyncService.java:468)
    at com.example.test.CreateResponseStorageTest.test_create_response_storage(CreateResponseStorageTest.java:122)",test_create_response_storage,ConcurrencyException,7060,0,328,4,536,9,114,0.17,15.94,14,36,526,storage,dev,error,go,macos,kotlin,gitlab_ci,manual,hotfix,saturday,0,1,0,0,0,0,1
Memory pressure caused GC pause of 83ms during test,,test_filter_response_payment,ArithmeticException,1602,2,269,42,904,23,417,0.181,15.7,44,104,795,payment,staging,error,go,macos,javascript,travis,schedule,hotfix,tuesday,0,1,0,0,1,0,0
"Network partition simulated, connection restored after 4116ms","java.util.concurrent.TimeoutException: Future timed out after 3000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.search.AsyncService.await(AsyncService.java:216)
    at com.example.test.ProcessCacheSearchTest.test_process_cache_search(ProcessCacheSearchTest.java:35)",test_process_cache_search,ResourceBusyException,2325,1,130,5,893,38,239,0.223,5.71,61,45,589,search,dev,warning,maven,windows,go,jenkins,schedule,main,sunday,0,0,1,0,0,1,1
"External API rabbitmq returned 503, scheduled retry in 100ms","java.util.concurrent.TimeoutException: Future timed out after 10000ms
    at java.util.concurrent.FutureTask.get(FutureTask.java:205)
    at com.example.database.AsyncService.await(AsyncService.java:114)
    at com.example.test.AuthorizeDataDatabaseTest.test_authorize_data_database(AuthorizeDataDatabaseTest.java:127)",test_authorize_data_database,MissingFieldException,311,0,3365,3,17,1,206,1.0,27.3,89,41,256,database,test,info,gradle,linux,javascript,gitlab_ci,push,develop,thursday,0,0,1,0,0,1,1
Contract violation: input != null not satisfied,"org.apache.http.conn.ConnectTimeoutException: Connect to notification.internal.example.com timed out
    at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect
    at com.example.notification.HttpClient.execute(HttpClient.java:89)
    at com.example.test.AuthenticateDataNotificationTest.test_authenticate_data_notification(AuthenticateDataNotificationTest.java:132)",test_authenticate_data_notification,RetryableException,454,0,397,22,202,6,337,0.582,3.14,94,10,485,notification,prod,warning,maven,windows,kotlin,github_actions,push,develop,saturday,0,1,0,0,0,0,1
Array index 864 out of bounds for length 55,"java.lang.IndexOutOfBoundsException: Index 36 out of bounds for length 2
    at java.util.ArrayList.get(ArrayList.java:459)
    at com.example.api.ApiService.process(ApiService.java:225)
    at com.example.test.ValidateDataApiTest.test_validate_data_api(ValidateDataApiTest.java:96)",test_validate_data_api,IllegalArgumentException,404,0,166,13,570,32,466,0.175,13.93,131,64,881,api,dev,critical,go,linux,python,travis,tag,develop,monday,0,0,0,0,0,0,0
Division by zero in validate at PaymentService.java:478,"java.lang.AssertionError: expected:<200> but was:<null>
    at org.junit.Assert.fail(Assert.java:89)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at com.example.test.ProcessRequestPaymentTest.test_process_request_payment(ProcessRequestPaymentTest.java:136)",test_process_request_payment,RaceConditionException,657,1,755,25,184,31,128,0.198,6.9,70,5,486,payment,prod,critical,gradle,macos,javascript,jenkins,pull_request,feature,sunday,0,0,0,0,1,0,0
NullPointerException at NotificationService.java:150 - data is null,,test_transform_order_notification,ArithmeticException,1658,1,1003,13,435,33,431,0.09,95.41,218,31,257,notification,test,warning,maven,windows,rust,jenkins,manual,feature,friday,0,0,1,0,0,0,0
Contract violation: input != null not satisfied,,test_filter_payment_auth,TemporaryFailureException,910,0,312,21,475,30,119,0.454,29.62,44,38,256,auth,prod,warning,npm,windows,java,travis,push,main,sunday,1,0,1,1,0,0,1
